time,position,x,y,z
36.6,41.69491525423729,0.0022572064768925262,8.75212340767389,0.004892055945428181
36.6,42.71186440677966,0.0022572064593620773,8.752123932710768,0.004892056253379958
36.6,43.728813559322035,0.0022572064573451573,8.752123993059051,0.004892056288046713
36.6,44.7457627118644,0.0022572064571320946,8.752123999425304,0.004892056291639997
36.6,45.762711864406775,0.002257206457111339,8.752124000047326,0.004892056291985844
36.6,46.77966101694915,0.0022572064571094335,8.752124000104049,0.00489205629201701
36.6,47.79661016949152,0.0022572064571091776,8.752124000108934,0.004892056292019681
36.6,48.813559322033896,0.0022572064571092375,8.752124000109335,0.0048920562920198776
36.6,49.83050847457627,0.0022572064571091824,8.752124000109335,0.004892056292019864
36.6,50.847457627118644,0.0022572064571092336,8.752124000109317,0.0048920562920198455
36.6,51.86440677966102,0.0022572064571092774,8.752124000109335,0.004892056292019896
36.6,52.88135593220339,0.002257206457109163,8.752124000109363,0.004892056292019907
36.6,53.89830508474576,0.0022572064571091933,8.752124000109365,0.004892056292019889
36.6,54.91525423728813,0.0022572064571092353,8.752124000109355,0.004892056292019885
36.6,55.932203389830505,0.0022572064571092917,8.752124000109337,0.0048920562920198645
36.6,56.94915254237288,0.0022572064571092206,8.752124000109333,0.0048920562920198845
36.6,57.96610169491525,0.0022572064571092817,8.752124000109307,0.004892056292019862
36.6,58.983050847457626,0.0022572064571091356,8.752124000109301,0.0048920562920198385
36.6,60.0,0.0022572064571092254,8.752124000109298,0.004892056292019829
36.800000000000004,0.0,0.0022784218813815243,8.160692095591083,0.0044163981962970205
36.800000000000004,1.0169491525423728,0.0022784218813815603,8.16069209559109,0.004416398196297007
36.800000000000004,2.0338983050847457,0.002278421881381474,8.160692095591072,0.0044163981962970205
36.800000000000004,3.0508474576271185,0.0022784218813814553,8.16069209559107,0.004416398196296983
36.800000000000004,4.067796610169491,0.0022784218813816128,8.160692095591086,0.0044163981962970136
36.800000000000004,5.084745762711864,0.0022784218813814957,8.160692095591106,0.004416398196297054
36.800000000000004,6.101694915254237,0.0022784218813814918,8.160692095591106,0.004416398196297058
36.800000000000004,7.11864406779661,0.002278421881381662,8.16069209559112,0.004416398196297052
36.800000000000004,8.135593220338983,0.0022784218813815277,8.160692095591116,0.004416398196297037
36.800000000000004,9.152542372881356,0.0022784218813813755,8.160692095591102,0.004416398196297025
36.800000000000004,10.169491525423728,0.002278421881381597,8.160692095591083,0.004416398196297009
36.800000000000004,11.1864406779661,0.002278421881381414,8.16069209559104,0.004416398196296991
36.800000000000004,12.203389830508474,0.0022784218813813517,8.160692095590687,0.004416398196296848
36.800000000000004,13.220338983050848,0.002278421881381579,8.160692095586132,0.004416398196294686
36.800000000000004,14.23728813559322,0.0022784218813836333,8.160692095533003,0.004416398196269608
36.800000000000004,15.254237288135592,0.002278421881406765,8.160692094949988,0.004416398195990383
36.800000000000004,16.271186440677965,0.002278421881640822,8.160692088981666,0.004416398193088992
36.800000000000004,17.28813559322034,0.0022784218838587302,8.160692032391184,0.004416398165090296
36.800000000000004,18.305084745762713,0.0022784219031390363,8.160691539895831,0.0044163979162988335
36.800000000000004,19.322033898305083,0.0022784220552897194,8.16068764909029,0.004416395901583154
36.800000000000004,20.338983050847457,0.0022784231306221393,8.160660119729778,0.0044163812193685975
36.800000000000004,21.35593220338983,0.002278429823132492,8.16048859388412,0.004416286444250194
36.800000000000004,22.3728813559322,0.002278465686795931,8.159568477766722,0.004415755847082771
36.800000000000004,23.389830508474574,0.0022786257128008247,8.155460719377722,0.004413259308614473
36.800000000000004,24.406779661016948,0.0022791895514779788,8.141007931615592,0.004403883108605184
36.800000000000004,25.423728813559322,0.002280656236822096,8.103650334670803,0.004377857128826659
36.800000000000004,26.440677966101696,0.0022833416839368593,8.036215576774124,0.004328450030456737
36.800000000000004,27.457627118644066,0.002286775522343298,7.951809569163703,0.00426578174519869
36.800000000000004,28.47457627118644,0.0022898438093579047,7.878081201506851,0.004211713442873987
36.800000000000004,29.491525423728813,0.002291575081876423,7.837169781057328,0.004182558550343947
36.800000000000004,30.508474576271183,0.002291575081876287,7.8371697810572565,0.004182558550343838
36.800000000000004,31.525423728813557,0.0022898438093583344,7.878081201506705,0.004211713442873922
36.800000000000004,32.54237288135593,0.002286775522342897,7.951809569163634,0.004265781745198648
36.800000000000004,33.559322033898304,0.0022833416839368494,8.036215576774115,0.004328450030456738
36.800000000000004,34.57627118644068,0.0022806562368219807,8.10365033467083,0.004377857128826672
36.800000000000004,35.59322033898305,0.0022791895514781405,8.141007931615604,0.004403883108605187
36.800000000000004,36.610169491525426,0.0022786257128008425,8.155460719377706,0.004413259308614455
36.800000000000004,37.62711864406779,0.002278465686796218,8.159568477766665,0.004415755847082761
36.800000000000004,38.644067796610166,0.0022784298231325216,8.160488593884043,0.004416286444250149
36.800000000000004,39.66101694915254,0.0022784231306221072,8.16066011972972,0.004416381219368566
36.800000000000004,40.67796610169491,0.0022784220552896843,8.160687649090221,0.004416395901583084
36.800000000000004,41.69491525423729,0.0022784219031391187,8.160691539895781,0.00441639791629882
36.800000000000004,42.71186440677966,0.002278421883858614,8.160692032391148,0.004416398165090271
36.800000000000004,43.728813559322035,0.00227842188164095,8.160692088981651,0.004416398193089008
36.800000000000004,44.7457627118644,0.0022784218814067337,8.160692094949972,0.004416398195990378
36.800000000000004,45.762711864406775,0.00227842188138372,8.16069209553299,0.004416398196269564
36.800000000000004,46.77966101694915,0.0022784218813815733,8.160692095586146,0.0044163981962947185
36.800000000000004,47.79661016949152,0.0022784218813815386,8.160692095590724,0.004416398196296871
36.800000000000004,48.813559322033896,0.0022784218813813885,8.1606920955911,0.004416398196297025
36.800000000000004,49.83050847457627,0.002278421881381499,8.1606920955911,0.004416398196297015
36.800000000000004,50.847457627118644,0.0022784218813814592,8.160692095591083,0.004416398196297006
36.800000000000004,51.86440677966102,0.0022784218813812207,8.160692095591102,0.004416398196297034
36.800000000000004,52.88135593220339,0.0022784218813816314,8.160692095591127,0.004416398196297065
36.800000000000004,53.89830508474576,0.002278421881381558,8.160692095591129,0.004416398196297043
36.800000000000004,54.91525423728813,0.002278421881381408,8.160692095591118,0.004416398196297033
36.800000000000004,55.932203389830505,0.002278421881381368,8.160692095591102,0.004416398196297022
36.800000000000004,56.94915254237288,0.002278421881381416,8.160692095591099,0.004416398196297034
36.800000000000004,57.96610169491525,0.0022784218813813447,8.160692095591074,0.0044163981962970205
36.800000000000004,58.983050847457626,0.002278421881381452,8.160692095591068,0.0044163981962969875
36.800000000000004,60.0,0.002278421881381435,8.160692095591065,0.004416398196296988
